data-cut-off-date,web-posting-date,age-group,male,female,other,unknown,total,doses-admin-age-group,doses-admin-male,doses-admin-female,doses-admin-male-female,rate-age-group,rate-male,rate-female,rate-male-female
2021-02-05,2021-02-12,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,7 to <18,0,2,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,18 to <50,23,344,0,2,369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,50 to <65,17,141,0,0,158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,65+,14,95,0,1,110,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,Unknown,2,5,0,5,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,Total,56,587,0,8,651,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,7 to <18,0,2,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,18 to <50,35,482,0,3,520,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,50 to <65,23,199,0,0,221,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,65+,23,160,0,1,184,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,Unknown,3,8,0,18,30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-12,2021-02-19,Total,84,851,0,22,957,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,7 to <18,1,2,0,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,18 to <50,44,605,0,3,652,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,50 to <65,30,260,0,1,291,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,65+,38,218,0,2,258,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,Unknown,3,10,0,18,31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-19,2021-02-26,Total,116,1095,0,24,1235,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-26,2021-03-05,0 to <16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-26,2021-03-05,16 to <18,1,3,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-26,2021-03-05,18 to <50,62,759,0,7,828,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-26,2021-03-05,50 to <65,36,340,0,1,377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-26,2021-03-05,65+,56,288,0,2,346,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-26,2021-03-05,Unknown,3,15,0,18,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-26,2021-03-05,Total,158,1405,0,28,1591,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-03-12,0 to <16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-03-12,16 to <18,2,3,0,0,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-03-12,18 to <50,76,915,0,7,998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-03-12,50 to <65,37,427,0,2,466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-03-12,65+,69,345,0,2,416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-03-12,Unknown,3,18,0,17,38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-03-12,Total,187,1708,0,28,1923,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-12,2021-03-19,0 to <16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-12,2021-03-19,16 to <18,3,4,0,0,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-12,2021-03-19,18 to <50,88,1035,0,9,1132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-12,2021-03-19,50 to <65,46,483,0,2,531,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-12,2021-03-19,65+,84,387,0,2,473,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-12,2021-03-19,Unknown,4,19,0,43,66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-12,2021-03-19,Total,225,1928,0,56,2209,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-19,2021-03-26,0 to <16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-19,2021-03-26,16 to <18,3,4,0,0,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-19,2021-03-26,18 to <50,104,1196,0,10,1310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-19,2021-03-26,50 to <65,53,542,0,3,598,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-19,2021-03-26,65+,97,445,0,3,545,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-19,2021-03-26,Unknown,4,21,0,45,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-19,2021-03-26,Total,261,2208,0,61,2530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-26,2021-04-01,0 to <16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-26,2021-04-01,16 to <18,3,4,0,0,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-26,2021-04-01,18 to <50,113,1329,0,12,1454,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-26,2021-04-01,50 to <65,62,595,0,3,660,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-26,2021-04-01,65+,124,510,0,4,638,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-26,2021-04-01,Unknown,6,26,0,68,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-26,2021-04-01,Total,308,2464,0,87,2859,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-09,0 to <16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-09,16 to <18,3,4,0,0,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-09,18 to <50,125,1405,0,13,1543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-09,50 to <65,75,631,0,3,709,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-09,65+,145,552,0,5,702,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-09,Unknown,7,29,0,92,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-09,Total,355,2621,0,113,3089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-09,2021-04-16,0 to <16,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-09,2021-04-16,16 to <18,4,4,0,0,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-09,2021-04-16,18 to <50,147,1519,0,13,1679,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-09,2021-04-16,50 to <65,96,697,0,3,796,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-09,2021-04-16,65+,180,640,0,7,827,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-09,2021-04-16,Unknown,9,31,0,93,133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-09,2021-04-16,Total,436,2891,0,117,3444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-16,2021-04-23,0 to <16,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-16,2021-04-23,16 to <18,4,4,0,0,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-16,2021-04-23,18 to <50,158,1591,0,14,1763,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-16,2021-04-23,50 to <65,119,763,0,3,885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-16,2021-04-23,65+,208,727,0,8,943,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-16,2021-04-23,Unknown,9,34,0,95,138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-16,2021-04-23,Total,498,3119,0,121,3738,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-23,2021-04-30,0 to <16,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-23,2021-04-30,16 to <18,4,4,0,0,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-23,2021-04-30,18 to <50,168,1686,1,14,1869,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-23,2021-04-30,50 to <65,141,850,1,4,996,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-23,2021-04-30,65+,254,835,0,11,1100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-23,2021-04-30,Unknown,14,41,0,99,154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-23,2021-04-30,Total,581,3416,2,129,4128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,0 to <16,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,16 to <18,4,4,0,0,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,18 to <50,164,1608,1,11,1784,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,50 to <65,150,822,1,6,979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,65+,223,815,0,10,1048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,Unknown,2,9,0,29,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,Total,543,3258,2,56,3859,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,0 to 17 ,4,4,0,1,9,22934,9589,13274,22863,48.44,41.71,30.13,34.99
2021-04-30,2021-05-07,18 to 29 ,46,334,0,2,382,812411,269921,539632,809553,63.50,17.04,61.89,46.94
2021-04-30,2021-05-07,30 to 39 ,60,680,1,8,749,1012909,363444,646773,1010217,103.44,16.51,105.14,73.25
2021-04-30,2021-05-07,40 to 49 ,77,746,0,4,827,1557950,641384,913998,1555382,79.00,12.01,81.62,52.91
2021-04-30,2021-05-07,50 to 59 ,103,656,0,8,767,2367779,1066258,1298764,2365022,42.04,9.66,50.51,32.09
2021-04-30,2021-05-07,60 to 69 ,140,445,1,3,589,3474901,1642284,1803222,3445506,20.27,8.52,24.68,16.98
2021-04-30,2021-05-07,70 to 79 ,121,319,0,4,444,2771542,1303996,1465736,2769732,17.52,9.28,21.76,15.89
2021-04-30,2021-05-07,80+,121,469,0,6,596,1760294,695265,1061602,1756867,40.68,17.40,44.18,33.58
2021-04-30,2021-05-07,Unknown ,19,56,0,110,185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-07,Total,691,3709,2,146,4548,13815592,5992141,7743001,13735142,40.82,11.53,47.90,32.03
2021-05-07,2021-05-14,0 to 17 ,4,4,0,1,9,37570,16752,20739,37491,23.96,23.88,19.29,21.34
2021-05-07,2021-05-14,18 to 29 ,51,351,0,2,404,1103759,397159,703074,1100233,36.60,12.84,49.92,36.54
2021-05-07,2021-05-14,30 to 39 ,69,702,2,14,787,1392460,539639,849566,1389205,56.52,12.79,82.63,55.50
2021-05-07,2021-05-14,40 to 49 ,87,798,0,10,895,2019780,862964,1153790,2016754,44.31,10.08,69.16,43.88
2021-05-07,2021-05-14,50 to 59 ,127,710,0,16,853,2960492,1351937,1605395,2957332,28.81,9.39,44.23,28.30
2021-05-07,2021-05-14,60 to 69 ,174,513,2,10,699,3816472,1811971,2001922,3813893,18.32,9.60,25.63,18.01
2021-05-07,2021-05-14,70 to 79 ,136,376,0,10,522,2845785,1340480,1503461,2843941,18.34,10.15,25.01,18.00
2021-05-07,2021-05-14,80+,131,488,0,8,627,1812381,713748,1095179,1808927,34.60,18.35,44.56,34.22
2021-05-07,2021-05-14,Unknown ,30,67,0,122,219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-05-07,2021-05-14,Total,809,4009,4,193,5015,16023656,7034650,8933126,15967776,31.30,11.50,44.88,30.17
2021-05-14,2021-05-21,0 to 17 ,4,4,0,1,9,89647,42061,47471,89532,10.04,9.51,8.43,8.94
2021-05-14,2021-05-21,18 to 29 ,53,363,0,3,419,1601978,641477,956102,1597579,26.16,8.26,37.97,26.04
2021-05-14,2021-05-21,30 to 39 ,73,744,2,8,827,1979803,842703,1133274,1975977,41.77,8.66,65.65,41.35
2021-05-14,2021-05-21,40 to 49 ,96,858,0,6,960,2556205,1132548,1420298,2552846,37.56,8.48,60.41,37.37
2021-05-14,2021-05-21,50 to 59 ,146,813,0,16,975,3516611,1627819,1885329,3513148,27.73,8.97,43.12,27.30
2021-05-14,2021-05-21,60 to 69 ,205,606,2,8,821,4030920,1919827,2108389,4028216,20.37,10.68,28.74,20.13
2021-05-14,2021-05-21,70 to 79 ,154,437,0,4,595,2901060,1367027,1532158,2899185,20.51,11.27,28.52,20.39
2021-05-14,2021-05-21,80+,143,505,0,9,657,1841654,723709,1114421,1838130,35.67,19.76,45.32,35.25
2021-05-14,2021-05-21,Unknown ,33,85,0,107,225,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-05-14,2021-05-21,Total,907,4415,4,162,5488,18517878,8297171,10197442,18494613,29.64,10.93,43.30,28.78
2021-05-21,2021-05-28,0 to 17 ,4,5,0,1,10,201507,95876,105273,201149,4.96,4.17,4.75,4.47
2021-05-21,2021-05-28,18 to 29 ,58,383,0,3,444,2164283,812428,1084774,1180650,20.51,7.14,35.31,37.35
2021-05-21,2021-05-28,30 to 39 ,85,782,2,8,877,2537630,1134293,1398889,2533182,34.56,7.49,55.90,34.23
2021-05-21,2021-05-28,40 to 49 ,120,927,0,9,1056,3062972,1390122,1669134,3059256,34.48,8.63,55.54,34.22
2021-05-21,2021-05-28,50 to 59 ,176,877,0,16,1069,3868505,1805301,2059451,3864752,27.63,9.75,42.58,27.25
2021-05-21,2021-05-28,60 to 69 ,237,676,2,9,924,4147871,1977969,2167081,4145050,22.28,11.98,31.19,22.03
2021-05-21,2021-05-28,70 to 79 ,166,481,0,6,653,2949947,1389088,1558944,2948032,22.14,11.95,30.85,21.95
2021-05-21,2021-05-28,80+,152,525,0,9,686,1898018,742964,1151419,1894383,36.14,20.46,45.60,35.74
2021-05-21,2021-05-28,Unknown ,48,111,0,111,270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-05-21,2021-05-28,Total,1046,4767,4,172,5989,20830733,9348041,11194965,19826454,28.75,11.19,42.58,29.32
2021-05-28,2021-06-04,0 to 17 ,4,5,0,1,10,563860,276393,286901,563294,1.77,1.45,1.74,1.60
2021-05-28,2021-06-04,18 to 29 ,62,418,0,3,483,2892319,1308628,1577061,2885689,16.70,4.74,26.50,16.63
2021-05-28,2021-06-04,30 to 39 ,89,819,2,8,918,3178745,1469099,1704621,3173720,28.88,6.06,48.05,28.61
2021-05-28,2021-06-04,40 to 49 ,132,985,0,11,1128,3478083,1600719,1873336,3474055,32.43,8.25,52.58,32.15
2021-05-28,2021-06-04,50 to 59 ,204,923,0,15,1142,4144563,1943933,2196630,4140563,27.55,10.49,42.02,27.22
2021-05-28,2021-06-04,60 to 69 ,259,716,3,11,989,4311265,2057202,2251126,4308328,22.94,12.59,31.81,22.63
2021-05-28,2021-06-04,70 to 79 ,180,506,0,5,691,3033830,1427654,1604226,3031880,22.78,12.61,31.54,22.63
2021-05-28,2021-06-04,80+,160,545,0,8,713,1970846,769532,1197582,1967114,36.18,20.79,45.51,35.84
2021-05-28,2021-06-04,Unknown ,58,160,0,116,334,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-05-28,2021-06-04,Total,1148,5077,5,178,6408,23573511,10853160,12691483,23544643,27.18,10.58,40.00,26.44
2021-06-04,2021-06-11,0 to 17 ,5,14,0,1,20,961076,474773,485365,960138,2.08,1.05,2.88,1.98
2021-06-04,2021-06-11,18 to 29 ,71,447,0,4,522,3523142,1636404,1878904,3515308,14.82,4.34,23.79,14.74
2021-06-04,2021-06-11,30 to 39 ,101,858,2,8,969,3600857,1681439,1913184,3594623,26.91,6.01,44.85,26.68
2021-06-04,2021-06-11,40 to 49 ,152,1042,0,11,1205,3768309,1740989,2010323,3751312,31.98,8.73,51.83,31.83
2021-06-04,2021-06-11,50 to 59 ,217,985,1,17,1220,4389447,2061303,2316159,4377462,27.79,10.53,42.53,27.46
2021-06-04,2021-06-11,60 to 69 ,281,768,3,15,1067,4557474,2172264,2377579,4549843,23.41,12.94,32.30,23.06
2021-06-04,2021-06-11,70 to 79 ,196,537,0,7,740,3253236,1529828,1719791,3249619,22.75,12.81,31.22,22.56
2021-06-04,2021-06-11,80+,167,562,0,8,737,2163187,853306,1304939,2158245,34.07,19.57,43.07,33.78
2021-06-04,2021-06-11,Unknown ,72,187,0,125,384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-04,2021-06-11,Total,1262,5400,6,196,6864,26216728,12150306,14006244,26156550,26.18,10.39,38.55,25.47
2021-06-11,2021-06-18,0 to 11,0,1,0,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-11,2021-06-18,12 to 17,12,16,0,0,28,1301078,647950,651707,1299657,2.15,1.85,2.46,2.15
2021-06-11,2021-06-18,18 to 29 ,83,481,0,4,568,3921727,1834212,2078902,3913114,14.48,4.53,23.14,14.41
2021-06-11,2021-06-18,30 to 39 ,123,907,3,8,1041,3902316,1823704,2072589,3896293,26.68,6.74,43.76,26.44
2021-06-11,2021-06-18,40 to 49 ,176,1113,0,12,1301,4031323,1863625,2163075,4026700,32.27,9.44,51.45,32.01
2021-06-11,2021-06-18,50 to 59 ,242,1049,1,18,1310,4708491,2212581,2491376,4703957,27.82,10.94,42.11,27.44
2021-06-11,2021-06-18,60 to 69 ,313,827,3,17,1160,5063099,2410885,2648856,5059741,22.91,12.98,31.22,22.53
2021-06-11,2021-06-18,70 to 79 ,225,556,0,8,789,3770039,1772607,1995108,3767715,20.93,12.69,27.87,20.73
2021-06-11,2021-06-18,80+,176,581,0,9,766,2412717,963683,1444328,2408011,31.75,18.26,40.23,31.44
2021-06-11,2021-06-18,Unknown ,81,213,0,149,443,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-11,2021-06-18,Total,1431,5744,7,226,7408,29110790,13529247,15545941,29075188,25.45,10.58,36.95,24.68
2021-06-18,2021-06-25,0 to 11,0,1,0,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-18,2021-06-25,12 to 17,17,19,0,0,36,1325871,661511,662664,1324175,2.72,2.57,2.87,2.72
2021-06-18,2021-06-25,18 to 29 ,106,511,0,4,621,4262376,1998021,2254876,4252897,14.57,5.31,22.66,14.51
2021-06-18,2021-06-25,30 to 39 ,144,956,3,9,1112,4214564,1970196,2237849,4208045,26.38,7.31,42.72,26.14
2021-06-18,2021-06-25,40 to 49 ,193,1176,0,12,1381,4385172,2030841,2349345,4380186,31.49,9.50,50.06,31.25
2021-06-18,2021-06-25,50 to 59 ,263,1120,1,18,1402,5201699,2450573,2746287,5196860,26.95,10.73,40.78,26.61
2021-06-18,2021-06-25,60 to 69 ,338,879,3,18,1238,5717121,2722884,2990535,5713419,21.65,12.41,29.39,21.30
2021-06-18,2021-06-25,70 to 79 ,246,613,0,10,869,4285336,2018070,2264699,4282769,20.28,12.19,27.07,20.06
2021-06-18,2021-06-25,80+,188,603,0,9,800,2604038,1047924,1551115,2599039,30.72,17.94,38.88,30.43
2021-06-18,2021-06-25,Unknown ,85,223,0,157,465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-18,2021-06-25,Total,1580,6101,7,238,7926,31996177,14900020,17057370,31957390,24.77,10.60,35.77,24.04
2021-06-25,2021-07-05,0 to 11,1,1,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-25,2021-07-05,12 to 17,27,33,0,0,60,1325871,661511,662664,1324175,4.53,4.08,4.98,4.53
2021-06-25,2021-07-05,18 to 29 ,130,565,0,5,700,4262376,1998021,2254876,4252897,16.42,6.51,25.06,16.34
2021-06-25,2021-07-05,30 to 39 ,168,1039,3,10,1220,4214564,1970196,2237849,4208045,28.95,8.53,46.43,28.68
2021-06-25,2021-07-05,40 to 49 ,219,1277,0,12,1508,4385172,2030841,2349345,4380186,34.39,10.78,54.36,34.15
2021-06-25,2021-07-05,50 to 59 ,277,1207,1,20,1505,5201699,2450573,2746287,5196860,28.93,11.30,43.95,28.56
2021-06-25,2021-07-05,60 to 69 ,363,945,3,19,1330,5717121,2722884,2990535,5713419,23.26,13.33,31.60,22.89
2021-06-25,2021-07-05,70 to 79 ,270,657,0,10,937,4285336,2018070,2264699,4282769,21.87,13.38,29.01,21.64
2021-06-25,2021-07-05,80+,193,623,0,9,825,2604038,1047924,1551115,2599039,31.68,18.42,40.16,31.40
2021-06-25,2021-07-05,Unknown ,86,230,0,166,482,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-25,2021-07-05,Total,1734,6577,7,252,8570,31996177,14900020,17057370,31957390,26.78,11.64,38.56,26.01
2021-07-02,2021-07-09,0 to 11,1,1,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-07-02,2021-07-09,12 to 17,31,41,0,0,72,1657524,828862,826667,1655529,4.34,3.74,4.96,4.35
2021-07-02,2021-07-09,18 to 29 ,147,596,1,6,750,4662564,2190356,2461853,4652209,16.09,6.71,24.21,15.97
2021-07-02,2021-07-09,30 to 39 ,188,1088,3,11,1290,4618496,2166043,2445349,4611392,27.93,8.68,44.49,27.67
2021-07-02,2021-07-09,40 to 49 ,235,1342,0,12,1589,4858637,2261773,2591555,4853328,32.70,10.39,51.78,32.49
2021-07-02,2021-07-09,50 to 59 ,297,1257,1,20,1575,5807133,2749020,3052934,5801954,27.12,10.80,41.17,26.78
2021-07-02,2021-07-09,60 to 69 ,373,979,3,19,1374,6428601,3068027,3356588,6424615,21.37,12.16,29.17,21.04
2021-07-02,2021-07-09,70 to 79 ,284,681,0,11,976,4767026,2248618,2515674,4764292,20.47,12.63,27.07,20.25
2021-07-02,2021-07-09,80+,202,635,0,9,846,2766854,1118425,1643266,2761691,30.58,18.06,38.64,30.31
2021-07-02,2021-07-09,Unknown ,90,235,0,172,497,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-07-02,2021-07-09,Total,1848,6855,8,261,8972,35566835,16631124,18893886,35525010,25.23,11.11,36.28,24.50
2021-07-09,2021-07-16,0 to 11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-07-09,2021-07-16,12 to 17,40,57,0,1,98,1842309,921476,918658,1840134,5.32,4.34,6.20,5.27
2021-07-09,2021-07-16,18 to 29 ,172,643,2,7,824,5223515,2464792,2747168,5211960,15.77,6.98,23.41,15.64
2021-07-09,2021-07-16,30 to 39 ,213,1161,4,14,1392,5171652,2439266,2724646,5163912,26.92,8.73,42.61,26.61
2021-07-09,2021-07-16,40 to 49 ,253,1428,0,14,1695,5431297,2542540,2883090,5425630,31.21,9.95,49.53,30.98
2021-07-09,2021-07-16,50 to 59 ,332,1344,1,24,1701,6490868,3087353,3398067,6485420,26.21,10.75,39.55,25.84
2021-07-09,2021-07-16,60 to 69 ,412,1040,3,21,1476,7110692,3402131,3704344,7106475,20.76,12.11,28.08,20.43
2021-07-09,2021-07-16,70 to 79 ,311,720,0,11,1042,5097251,2407785,2686621,5094406,20.44,12.92,26.80,20.24
2021-07-09,2021-07-16,80+,210,651,0,10,871,2876736,1165786,1705674,2871460,30.28,18.01,38.17,29.98
2021-07-09,2021-07-16,Unknown ,94,246,0,176,516,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-07-09,2021-07-16,Total,2037,7290,10,278,9615,39244320,18431129,20768268,39199397,24.50,11.05,35.10,23.79
2021-07-16,2021-07-23,0 to 11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-07-16,2021-07-23,12 to 17,50,65,0,2,117,2058058,1029389,1026225,3087447,5.68,4.86,6.33,3.72
2021-07-16,2021-07-23,18 to 29,206,683,2,11,902,5805372,2759534,3033250,8564906,15.54,7.47,22.52,10.38
2021-07-16,2021-07-23,30 to 39,234,1215,4,14,1467,5735441,2727138,2999966,8462579,25.58,8.58,40.50,17.12
2021-07-16,2021-07-23,40 to 49,276,1501,1,15,1793,6010632,2834896,3169752,8845528,29.83,9.74,47.35,20.09
2021-07-16,2021-07-23,50 to 59,363,1412,1,24,1800,7127795,3408960,3713117,10536755,25.25,10.65,38.03,16.85
2021-07-16,2021-07-23,60 to 69,444,1094,3,21,1562,7598436,3646447,3947605,11244883,20.56,12.18,27.71,13.68
2021-07-16,2021-07-23,70 to 79,330,750,0,12,1092,5286772,2499479,2784375,7786251,20.66,13.20,26.94,13.87
2021-07-16,2021-07-23,80+,217,669,1,10,897,2955399,1199519,1750467,4154918,30.35,18.09,38.22,21.32
2021-07-16,2021-07-23,Unknown,102,262,0,173,537,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-07-16,2021-07-23,Total,2222,7651,12,282,10167,42577905,20105362,22424757,62683267,23.88,11.05,34.12,15.75
